lo/gos	lo/gos	n-s---mn-
le/goi	le/gos	n-p---m--
le/goi	le/goi_	v3spoa---
le/goi	le/goi_	v3spoa---
le/goi	le/goi_	v3spoa---
e)gw\	e)gw/	n1s------
ga\r	ga/r	g--------
h(/mhn	h(=mai	v1slim---
h(/mhn	ka/qhmai	v1s-im---
fo/bw|	fo/bos	n-s---md-
mh/	mh/	c--------
moi	e)gw/	n1s----d-
to\	to/	l-s---n--
ka/llos	ka/llos	n-s---n--
a)/lgos	a)/lgos	n-s---n--
e)ceu/roi	e)ceu/roi_	v3saoa---
pote/	pote	g--------
pote/	poto/s	n-s---mv-
te/los	te/los	n-s---n--
e)/qhke	ti/qhmi	v3saia---
a)gw/nios	a)gw/nios	n-s----n-
kalw=s	kalo/s	x--------
ei)	ei)	c--------
dh\	dh/	g--------
kalw=s	kalo/s	x--------
le/xos	le/xos	n-s---n--
ga\r	ga/r	g--------
krito\n	krito/n	n-s---ma-
krito\n	krito/n	n-s---n--
a)ei/	a_)ei/	x--------
e)k	e)k	r--------
fo/bou	fo/bos	n-s---mg-
fo/bon	fo/bos	n-s---ma-
tre/fw	tre/fw	v1spsa---
tre/fw	tre/fw	v1spia---
kei/nou	e)kei=nos	n-s---ng-
kei/nou	e)kei=nos	n-s---mg-
kei/nou	kei=nos	n-s----g-
kei/nou	keno/w	v2spma---
kei/nou	keno/w	v3s-ia---
nu\c	nu/c	n-s---f--
ga\r	ga/r	g--------
ei)sa/gei	ei)sa/gw	v2spie---
ei)sa/gei	ei)sa/gw	v3spia---
kai\	kai/	c--------
nu\c	nu/c	n-s---f--
a)pwqei=	a)pwqe/w	v2spie---
a)pwqei=	a)pwqe/w	v3spia---
a)pwqei=	a)pwqe/w	v2spie---
a)pwqei=	a)pwqe/w	v3spia---
po/non	po/nos	n-s---ma-
ka)fu/samen	a_)fu/samen	v1paia---
ka)fu/samen	e)fu__/samen	v1paia---
ka)fu/samen	e)fu_/samen	v1paia---
ka)fu/samen	e)fu/samen	v1paia---
dh\	dh/	g--------
pai=das	pai=s	n-p----a-
